fecha,tasa,precios
23-11-2018,-0.19038553069967967,20.97
26-11-2018,-5.996222851746929,19.91
27-11-2018,-3.082029397818865,20.44
28-11-2018,-0.8490566037735836,21.02
29-11-2018,-0.7579346281383238,20.95
30-11-2018,-0.8608321377331407,20.73
03-12-2018,1.6401350699469361,21.07
04-12-2018,-1.0491177873152069,20.75
05-12-2018,5.1230537418382704,20.93
06-12-2018,2.641878669275925,20.98
07-12-2018,-2.0932445290199873,20.58
10-12-2018,-4.916467780429583,19.92
11-12-2018,-2.3154848046309717,20.25
13-12-2018,-4.98338870431894,20.02
